Map_Id	Map_Label	Parent_id	Parent_Area	NGI_POLYGON_ID	Geo_PolygonID	LOGICAL_GROUPING	MISSING_SHAPE_FILE	Level	Old ΧΕ Area ID
349	Δ. Δοβρά 	17	Ν. Ημαθίας	5307000				3	816
353	Δ. Δοϊράνης 	51	Ν. Κιλκίς	5705000				3	826
350	Δ. Δομνίστας 	5	Ν. Ευρυτανίας	0506000				3	813
351	Δ. Δομοκού 	18	Ν. Φθιώτιδας	0608000				3	847
352	Δ. Δοξάτου 	35	Ν. Δράμας	5202000				3	809
357	Δ. Δύμης 	20	Ν. Αχαΐας	1308000				3	806
348	Δ. Δυστίων 	23	Ν. Ευβοίας	0409000				3	812
358	Δ. Δωδώνης 	3	Ν. Ιωαννίνων	3309000				3	820
359	Δ. Δωρίου 	52	Ν. Μεσσηνίας	1713000				3	836
360	Δ. Εγνατίας	69	 Υπόλοιπο Ν. Θεσσαλονίκης	5412000				3	819999
361	Δ. Εγνατίας 	3	Ν. Ιωαννίνων	3310000				3	820
363	Δ. Είρας 	52	Ν. Μεσσηνίας	1714000				3	836
364	Δ. Ειρηνούπολης 	17	Ν. Ημαθίας	5308000				3	816
365	Δ. Εκάλης 	3	Ν. Ιωαννίνων	3311000				3	820
367	Δ. Ελάτειας 	18	Ν. Φθιώτιδας	0609000				3	847
369	Δ. Ελαφίνας 	1	Ν. Πιερίας	6105000				3	840
371	Δ. Ελευθερίου Βενιζέλου 	30	Ν. Χανίων	9408000				3	851
373	Δ. Ελευθερούπολης 	43	Ν. Καβάλας	5502000				3	821
374	Δ. Ελευθερών 	43	Ν. Καβάλας	5503000				3	821
376	Δ. Ελίμειας 	16	Ν. Κοζάνης	5808000				3	827
378	Δ. Ελλησπόντου 	16	Ν. Κοζάνης	5809000				3	827
380	Δ. Έλους 	9	Ν. Λακωνίας	1607000				3	830
381	Δ. Ελυμνίων 	23	Ν. Ευβοίας	0410000				3	812
382	Δ. Εμμανουήλ Παππά 	15	Ν. Σερρών	6206000				3	845
383	Δ. Ενιππέα 	8	Ν. Λάρισας	4209000				3	832
384	Δ. Εξαπλατάνου 	4	Ν. Πέλλας	5905000				3	839
386	Δ. Επισκοπής 	10	Ν. Ηρακλείου	9111000				3	817
389	Δ. Ερινεού	20	Ν. Αχαΐας	1309000				3	806
397	Δ. Εστιαιώτιδας 	54	Ν. Τρικάλων	4405000				3	846
402	Δ. Ευρυμενών 	3	Ν. Ιωαννίνων	3312000				3	820
403	Δ. Ευρυμενών 	8	Ν. Λάρισας	4210000				3	832
404	Δ. Ευρωπού	51	Ν. Κιλκίς	5706000				3	826
405	Δ. Ευρωστίνης 	29	Ν. Κορίνθου	1506000				3	828
407	Δ. Εχιναίων 	18	Ν. Φθιώτιδας	0610000				3	847
408	Δ. Ζαγοράς 	41	Ν. Μαγνησίας	4309000				3	835
410	Δ. Ζαλόγγου 	22	Ν. Πρέβεζας	3403000				3	841
411	Δ. Ζάρακα 	9	Ν. Λακωνίας	1608000				3	830
412	Δ. Ζαρού 	10	Ν. Ηρακλείου	9112000				3	817
414	Δ. Ζερβοχωρίων 	14	Ν. Χαλκιδικής	6404000				2	850003
416	Δ. Ζίτσας 	3	Ν. Ιωαννίνων	3313000				3	820
420	Δ. Ηραίας	32	Ν. Αρκαδίας	1208000				3	803
422	Δ. Ηρακλείας 	15	Ν. Σερρών	6207000				3	845
421	Δ. Ηράκλειας 	46	Ν. Άρτας	3108000				3	804
426	Δ. Ηρακλεωτών 	24	Ν. Γρεβενών	5105000				3	808
428	Δ. Θεόδωρου Ζιάκα 	24	Ν. Γρεβενών	5106000				3	808
429	Δ. Θεραπνών 	9	Ν. Λακωνίας	1609000				3	830
430	Δ. Θερίσου 	30	Ν. Χανίων	9409000				3	851
434	Δ. Θεσπιέων 	38	Ν. Βοιωτίας	0309000				3	807
